9 990 2342
4 76 0.0269886 -0.359765
0 158 -0.00655107 -0.392765
4 158 -0.0921203 -0.40305
0 159 -0.261969 -0.0417691
4 159 -0.353988 -0.0186266
4 14 -0.0852404 -0.40305
0 160 -0.000101129 -0.399622
4 160 -0.0852404 -0.410336
0 161 -0.252939 0.100943
4 161 -0.344958 0.157943
0 162 0.109118 -0.401764
4 162 0.0308586 -0.41205
0 163 0.099228 -0.344765
4 163 0.0239787 -0.354622
0 164 -0.434827 -0.357622
4 164 -0.615426 -0.365336
0 165 0.0407485 -0.402193
4 165 -0.0409508 -0.412907
0 166 -0.000101129 -0.40605
4 166 -0.0852404 -0.416764
0 167 -0.00698107 -0.385907
4 167 -0.0916903 -0.396193
0 168 0.301326 0.0208015
4 168 0.276816 -0.00319821
0 169 0.245857 0.124086
4 169 0.256177 0.100086
0 170 0.290576 -0.0644831
4 170 0.183937 -0.0477691
0 171 0.270366 0.360654
4 171 0.300896 0.357226
0 172 -0.287339 0.161371
4 172 -0.373768 0.230799
0 173 -0.237029 0.0135159
4 173 -0.322598 0.0465154
0 174 -0.249499 -0.0156266
4 174 -0.336358 0.0109445
0 175 0.260907 -0.0443405
4 175 0.163297 -0.0284836
4 125 -0.323458 0.198656
0 176 0.170177 -0.0301979
4 176 0.0811682 -0.0100553
0 177 -0.019881 -0.392336
4 177 -0.10631 -0.402622
0 178 0.135778 -0.0614832
4 178 0.0330086 -0.034055
4 26 -0.0994303 -0.410336
4 27 -0.0852404 -0.396193
0 179 0.341316 -0.0670545
4 179 0.232097 -0.0550547
4 134 0.194257 -0.0747687
0 180 -0.292929 -0.0687688
4 180 -0.387958 -0.0533404
4 93 0.220057 -0.0237694
0 181 -0.16995 0.106515
4 181 -0.242189 0.154514
0 182 -0.235739 0.139514
4 182 -0.313568 0.198228
0 183 -0.16393 0.142514
4 183 -0.227999 0.193513
4 36 -0.10631 -0.409907
0 184 -0.019881 -0.386336
4 184 -0.10631 -0.396193
0 185 0.116858 -0.342194
4 185 0.0424685 -0.352051
0 186 0.313366 -0.0396263
4 186 0.190817 -0.0151981
0 187 -0.229289 0.136086
4 187 -0.305828 0.193513
0 188 -0.0947003 0.233799
4 188 -0.12523 0.284798
4 41 -0.528136 -0.380336
0 189 0.401085 -0.322051
4 189 0.318526 -0.335765
0 190 -0.237889 -0.0169123
4 190 -0.323028 0.00880163
4 101 0.171897 -0.401336
0 191 -0.0981403 0.1648
4 191 -0.11534 0.192656
4 45 -0.423217 -0.420621
0 192 -0.223699 0.0529439
4 192 -0.308408 0.0953719
0 193 -0.284329 -0.0559118
4 193 -0.378068 -0.0374835
4 47 -0.323458 0.00323027
0 194 0.0553684 -0.106911
4 194 -0.0611606 -0.0721973
0 195 0.331856 0.1378
4 195 0.328416 0.110372
0 196 -0.268849 -0.159625
4 196 -0.387098 -0.143768
0 197 -0.299378 -0.147625
4 197 -0.394838 -0.149768
0 198 -0.215529 -0.0627689
4 198 -0.295939 -0.0481976
0 199 0.0622483 -0.402193
4 199 -0.018161 -0.412907
0 200 -0.0366508 0.0040874
4 200 -0.13555 0.0448012
0 201 0.302616 0.411653
4 201 0.346046 0.404796
0 202 -0.248209 0.157514
4 202 -0.323458 0.219656
0 203 -0.212519 -0.109483
4 203 -0.290349 -0.105625
0 204 -0.0667505 0.20637
4 204 -0.11534 0.250941
0 205 -0.222839 0.1708
4 205 -0.309268 0.23637
5 117 0.372276 -0.0323407
0 206 -0.012141 -0.376479
5 206 0.0428985 -0.331908
0 207 -0.12867 0.192228
5 207 -0.00139112 0.263798
0 208 0.265637 -0.031055
5 208 0.366686 -0.031055
0 209 0.163297 0.151085
5 209 0.397645 0.144228
5 122 0.0635383 0.165228
0 210 0.0385985 -0.395764
5 210 0.0686983 -0.351622
5 173 0.349916 0.412082
0 211 -0.360438 -0.0143409
5 211 -0.308408 0.0953719
0 212 0.122448 0.202513
5 212 0.331856 0.202513
5 60 0.0738582 -0.345622
0 213 -0.11491 0.268084
5 213 0.111698 0.330226
0 214 0.0158087 -0.0169123
5 214 0.166737 0.0173729
0 215 0.251017 -0.00362678
5 215 0.378296 -0.00534104
0 216 -0.12136 0.0216586
5 216 0.0497784 0.0790864
0 217 -0.428807 -0.226052
5 217 -0.387098 -0.143768
0 218 -0.015151 -0.0263408
5 218 0.170177 0.0118016
0 219 -0.347108 0.0280871
5 219 -0.297229 0.141228
0 220 0.366686 -0.373479
5 220 0.201137 -0.335337
0 221 0.118578 0.142514
5 221 0.370986 0.144228
0 222 0.0510684 0.137371
5 222 0.254457 0.157514
0 223 0.0394585 -0.390193
5 223 0.0674083 -0.345622
0 224 -0.402148 -0.102197
5 224 -0.359148 -0.000198254
0 225 0.0325786 -0.0610546
5 225 0.096218 -0.0233408
0 226 -0.1764 0.102658
5 226 -0.00526108 0.176371
0 227 -0.382368 0.066658
5 227 -0.305828 0.193513
0 228 0.0398885 -0.405622
5 228 0.0695583 -0.361051
5 47 0.198127 -0.0477691
0 229 -0.218969 0.0958005
5 229 -0.0443907 0.178942
0 230 -0.407308 -0.153196
5 230 -0.349688 -0.0571975
0 231 0.0777282 0.319512
5 231 0.311646 0.32594
0 232 0.339166 0.391082
5 232 0.555454 0.335797
0 233 0.157277 0.0280871
5 233 0.305626 0.0379441
6 149 -0.344958 0.157943
6 151 -0.0921203 -0.40305
0 234 0.355936 -0.390622
6 234 0.407965 -0.332765
6 2 -0.0994303 -0.410336
0 235 -0.14587 -0.410764
6 235 -0.0994303 -0.402622
0 236 -0.397848 0.00751593
6 236 -0.308408 0.0953719
0 237 -0.15189 -0.403907
6 237 -0.10631 -0.396193
0 238 -0.438697 -0.129625
6 238 -0.351408 -0.0417691
0 239 -0.276589 -0.376908
6 239 -0.270139 -0.379908
6 159 -0.336358 0.0109445
0 240 -0.0237509 -0.38205
6 240 0.0471985 -0.355908
0 241 -0.15232 -0.409907
6 241 -0.10631 -0.402622
0 242 -0.0443907 -0.37905
6 242 0.0239787 -0.354622
0 243 -0.1463 -0.404764
6 243 -0.0994303 -0.395764
0 244 -0.417197 -0.0837686
6 244 -0.329908 0.00280171
6 231 -0.13942 -0.352908
0 245 -0.232299 -0.407336
6 245 -0.211229 -0.411193
0 246 -0.13426 -0.411621
6 246 -0.0852404 -0.40305
0 247 0.162867 -0.253052
6 247 0.0742882 -0.297623
0 248 -0.386668 -0.134768
6 248 -0.298518 -0.0567689
6 35 -0.0663205 -0.407764
6 62 0.106538 -0.392765
6 225 0.282406 -0.0306264
0 249 -0.13383 -0.41805
6 249 -0.0852404 -0.410336
0 250 -0.383658 -0.181053
6 250 -0.290349 -0.105625
6 50 -0.320878 0.1018
0 251 0.122018 0.0319442
6 251 0.328416 0.110372
0 252 -0.400858 -0.108625
6 252 -0.323458 -0.0306264
0 253 -0.399998 -0.154482
6 253 -0.310988 -0.0756258
0 254 0.262627 -0.0910542
6 254 0.372276 -0.0323407
0 255 -0.385378 -0.398336
6 255 -0.423217 -0.420621
0 256 -0.13985 -0.417193
6 256 -0.0921203 -0.410336
0 257 0.0480584 0.059801
6 257 0.242847 0.104372
7 64 -0.0994303 -0.402622
7 59 -0.0921203 -0.410336
0 258 0.0695583 -0.332765
7 258 0.0471985 -0.355908
0 259 -0.267559 0.160514
7 259 -0.305398 0.216227
7 7 -0.10631 -0.402622
0 260 0.315946 0.00280171
7 260 0.305626 0.0379441
0 261 -0.0611606 -0.376479
7 261 -0.0994303 -0.410336
0 262 0.380446 -0.0559118
7 262 0.372276 -0.0323407
7 240 -0.10588 -0.416336
0 263 0.122878 -0.364051
7 263 0.106538 -0.392765
0 264 -0.0547106 -0.370051
7 264 -0.0921203 -0.40305
7 78 -0.0633106 0.346511
7 161 0.00290884 -0.40905
7 208 -0.0921203 -0.416764
0 265 -0.0323508 -0.374336
7 265 -0.0663205 -0.407764
7 164 -0.10631 -0.409907
0 266 0.355506 -0.0263408
7 266 0.346906 0.00494454
0 267 0.504284 -0.363193
7 267 0.518044 -0.380336
0 268 -0.341518 -0.380336
7 268 -0.423217 -0.420621
0 269 -0.310558 -0.050769
7 269 -0.363448 -0.00791244
7 231 -0.0994303 -0.395764
0 270 0.0394585 -0.37905
7 270 0.0136587 -0.411193
0 271 -0.0482607 -0.376479
7 271 -0.0852404 -0.410336
0 272 0.136208 0.243227
7 272 0.122448 0.319512
0 273 -0.00956105 -0.379479
7 273 -0.0409508 -0.412907
7 28 -0.0852404 -0.40305
0 274 0.0484884 -0.331051
7 274 0.0239787 -0.354622
7 147 0.0463385 0.290798
0 275 -0.0486907 -0.364479
7 275 -0.0852404 -0.396193
0 276 -0.290779 -0.311337
7 276 -0.359578 -0.339194
7 42 0.0686983 -0.351622
7 190 0.239407 -0.328908
0 277 0.0738582 0.285655
7 277 0.0536484 0.334083
0 278 0.259617 0.309226
7 278 0.245857 0.381225
0 279 0.397645 0.315655
7 279 0.380446 0.384225
0 280 0.098798 -0.381622
7 280 0.0803082 -0.413764
0 281 0.163727 0.0293728
7 281 0.142658 0.0452297
0 282 -0.0293409 0.244084
7 282 -0.0465407 0.326369
0 283 0.0704182 -0.285623
7 283 0.0536484 -0.273623
0 284 0.0390285 -0.367908
7 284 0.0132288 -0.398764
0 285 -0.449447 -0.370051
7 285 -0.550496 -0.410764
0 286 -0.13383 -0.355479
7 286 -0.18199 -0.386765
7 145 0.0695583 -0.361051
0 287 0.185657 -0.37905
7 287 0.176197 -0.405193
0 288 0.381306 0.0915148
7 288 0.370986 0.144228
0 289 0.307776 0.284798
7 289 0.290576 0.342654
0 290 0.0846081 -0.123197
7 290 0.0674083 -0.11934
0 291 0.315086 -0.315194
7 291 0.318526 -0.335765
8 151 -0.0977103 -0.105625
0 292 -0.12222 -0.321623
8 292 -0.197469 -0.294194
0 293 -0.0921203 -0.410336
8 293 -0.14028 -0.377336
8 3 -0.14071 -0.383336
0 294 -0.0994303 -0.410336
8 294 -0.14673 -0.378193
0 295 -0.0994303 -0.395764
8 295 -0.1463 -0.365765
0 296 -0.0921203 -0.40305
8 296 -0.14028 -0.371336
0 297 -0.244339 0.185799
8 297 -0.239179 0.177228
0 298 -0.305398 0.216227
8 298 -0.278739 0.203799
0 299 -0.10631 -0.409907
8 299 -0.15318 -0.378622
8 242 -0.13383 -0.376479
0 300 -0.10631 -0.402622
8 300 -0.15275 -0.372622
0 301 -0.0852404 -0.40305
8 301 -0.13383 -0.370479
8 82 -0.534586 -0.335765
8 171 -0.13383 -0.364908
0 302 -0.0852404 -0.416764
