9 813 2640
1 29 0.38987 -0.00545226
0 30 0.442918 -0.421152
1 30 0.257589 -0.403538
0 31 0.445332 0.0483518
1 31 0.396992 -0.00751225
0 32 0.455547 -0.420849
1 32 0.24208 -0.404765
0 33 0.460022 0.0298402
1 33 0.401559 -0.0227814
0 34 0.476212 -0.421102
1 34 0.239779 -0.405285
0 35 0.496299 0.210855
1 35 0.451758 0.118954
0 36 0.497489 -0.42102
1 36 0.255273 -0.40378
0 34 0.513721 -0.421037
0 37 0.520876 -0.423644
1 37 0.169219 -0.412882
0 38 0.541845 -0.42103
1 38 0.234959 -0.405725
0 34 0.54358 -0.421099
0 39 0.56975 -0.421001
1 39 0.200052 -0.408684
0 40 0.591679 -0.421106
1 40 0.184594 -0.41021
0 41 -0.540847 -0.0293695
1 41 -0.255764 0.222667
0 41 -0.540847 -0.0293695
0 41 -0.540847 -0.0293695
0 41 -0.540847 -0.0293695
0 34 0.412199 -0.421328
0 34 0.431296 -0.421203
0 42 0.448046 0.0196676
1 42 0.244898 -0.345707
0 34 0.452338 -0.421104
0 43 0.532726 0.0299866
1 43 0.444503 -0.0267803
0 44 0.532726 0.0299866
1 44 0.444503 -0.0267803
0 45 -0.446533 -0.179833
2 45 0.0231079 0.234253
0 46 0.0201887 -0.412273
2 46 -0.0326303 -0.400341
0 47 0.0201887 -0.412273
2 47 -0.0326303 -0.400341
0 48 0.303362 0.131619
2 48 0.30508 0.0770364
0 49 0.341269 0.229623
2 49 0.291014 0.141237
0 50 0.397972 -0.421354
2 50 0.124219 -0.40504
0 51 0.418902 0.068017
2 51 -0.275591 0.0753158
0 50 0.474709 -0.421056
2 36 0.150278 -0.403335
0 36 0.497564 -0.420969
0 36 0.501758 -0.42108
0 50 0.506639 -0.421099
0 52 0.507759 -0.420851
2 52 0.219266 -0.39937
0 36 0.517923 -0.420838
0 36 0.536521 -0.420892
0 36 0.536547 -0.420993
0 36 0.538167 -0.420894
0 36 0.550343 -0.420716
0 36 0.560587 -0.420692
0 36 0.566871 -0.42102
0 36 0.571537 -0.420889
0 50 0.577954 -0.421031
0 36 0.578749 -0.420711
0 36 0.590087 -0.42098
0 52 0.591694 -0.420709
0 52 0.59419 -0.420859
0 36 0.599315 -0.42091
0 53 0.613636 -0.421093
2 53 0.102858 -0.406415
0 54 0.231164 0.0964863
2 54 0.0593556 0.0894033
0 54 0.231164 0.0964863
0 55 0.282969 0.0433903
2 55 0.0780882 0.191925
0 55 0.28447 0.0468965
0 55 0.286326 0.0499108
0 55 0.293496 0.0564646
0 55 0.296785 0.0581923
0 56 0.31482 -0.0594402
2 56 0.0786554 0.192388
0 56 0.33838 -0.354593
0 56 0.360816 -0.354721
0 56 0.431685 -0.355706
0 57 0.526249 0.304596
2 57 -0.341279 0.189326
0 58 -0.594818 -0.365794
3 58 -0.0268693 0.144697
0 58 -0.540494 -0.362225
0 58 -0.363656 -0.356363
0 58 -0.359734 -0.355885
0 58 -0.352551 -0.355414
0 58 -0.286387 -0.35517
0 59 0.284136 0.190554
3 59 0.286387 0.137498
0 60 0.355289 0.205964
3 60 0.438191 0.132261
0 61 0.355289 0.205964
